username,role, action,time,status
WERTY,,Login,5/11/2024 23:27,Failed
WERTWERTY,,Login,2024-05-12 00:32:01,Failed
WERTWERTY,,Login,2024-05-12 00:32:04,Failed
WERTWERTY,,Login,2024-05-12 00:32:08,Failed
WERTWERTYERTY,,Login,2024-05-12 00:32:14,Failed
B5A3FPH,nurse,Login,2024-05-12 00:34:05,Successful
B5A3FPH,nurse,Login,2024-05-12 00:38:16,Successful
DXMMOQP,admin,Login,2024-05-12 00:38:46,Successful
QH61Q1R,clinician,Login,2024-05-12 00:39:25,Successful
32HEOJI,management,Login,2024-05-12 00:41:56,Successful
rahul,,Login,2024-05-14 07:53:39,Failed
